product_id,wine_type,wine_name,wine_origin,rating_avg,rating_num,price_current,price_prediscount,discount_nom,savings_percent
1412953,Grenache,Anne Pichon Sauvage Cuvee Vieilles Vignes Grenache Noir 2022,"Cotes du Ventoux, Rhone, France",0.0,0,,19,,
1308166,Bordeaux Red Blends,Chateau Ducru-Beaucaillou (Futures Pre-Sale) 2022,"St-Julien, Bordeaux, France",0.0,0,,244,,
1487498,Cabernet Franc,Domaine de la Chanteleuserie Bourgueil Rouge Cuvee Alouettes 2022,"Bourgueil, Touraine, Loire, France",0.0,0,,19,,
1436626,Grenache,A Tribute to Grace Grenache 2022,"Central Coast, California",0.0,0,,35,,
1369430,Syrah/Shiraz,Maison Brotte Charles Brotte Grand Vallon Syrah 2022,"Vin de France, France",4.6,29,,9,,
1309718,Bordeaux Red Blends,Chateau Gruaud Larose (Futures Pre-Sale) 2022,"St-Julien, Bordeaux, France",0.0,0,,99,,
1308663,Bordeaux Red Blends,Chateau Peby Faugeres (Futures Pre-Sale) 2022,"St. Emilion, Bordeaux, France",0.0,0,,154,,
1395234,Other Red Blends,Alvaro Palacios Camins del Priorat 2022,"Priorat, Spain",0.0,0,,31,,
1369720,Gamay,Domaine Michel Tete Julienas Cuvee Tradition 2022,"Beaujolais, Burgundy, France",0.0,0,,23,,
1307967,Bordeaux Red Blends,Chateau Les Ormes de Pez (Futures Pre-Sale) 2022,"St. Estephe, Bordeaux, France",0.0,0,,32,,
1381306,Pinot Noir,Stoller Willamette Valley Pinot Noir 2022,"Dundee Hills, Willamette Valley, Oregon",0.0,0,,25,,
1308535,Bordeaux Red Blends,Chateau Pavie (Futures Pre-Sale) 2022,"St. Emilion, Bordeaux, France",0.0,0,,405,,
1220861,Pinot Noir,Cono Sur Organic Pinot Noir 2022,Chile,0.0,0,,14,,
1380047,Syrah/Shiraz,Fram Wines Shiraz 2022,"Swartland, South Africa",4.8,9,,17,,
1308002,Bordeaux Red Blends,Chateau Margaux Pavillon Rouge (Futures Pre-Sale) 2022,"Margaux, Bordeaux, France",0.0,0,,210,,
1465090,Pinot Noir,EnRoute Winery Les Pommiers Pinot Noir 2022,"Russian River, Sonoma County, California",0.0,0,,59,,
1414134,Cabernet Sauvignon,Natura Cabernet Sauvignon 2022,Chile,0.0,0,,16,,
1342678,Lagrein,Elena Walch Lagrein 2022,"Alto Adige, Trentino-Alto Adige, Italy",0.0,0,,19,,
788756,Bordeaux Red Blends,"10,000 Hours Red Blend 2019","Red Mountain, Yakima Valley, Columbia Valley, Washington",4.2,5,29,35,$5.01,14
834207,Cabernet Sauvignon,"10,000 Hours Cabernet Sauvignon 2019","Red Mountain, Yakima Valley, Columbia Valley, Washington",4.1,27,29,35,$5.01,14
729570,Bordeaux Red Blends,"10,000 Hours Red Blend 2018","Red Mountain, Yakima Valley, Columbia Valley, Washington",3.4,10,29,35,$5.01,14
1247936,Zinfandel,1000 Stories Bourbon Barrel Aged Zinfandel 2021,California,4.0,12,15,19,$3.01,16
1190032,Cabernet Sauvignon,1000 Stories Bourbon Barrel Aged Cabernet Sauvignon 2021,California,0.0,0,15,19,$3.01,16
1299076,Other Red Blends,14 Hands Stampede Red Blend 2020,"Columbia Valley, Washington",4.1,6,11,12,$3.01,20
1195036,Cabernet Sauvignon,14 Hands Cabernet Sauvignon 2020,"Columbia Valley, Washington",0.0,0,11,15,$3.01,20
1070730,Other Red Blends,14 Hands Hot to Trot Red Blend 2020,"Columbia Valley, Washington",3.8,44,10,15,$2.01,15
1176051,Merlot,14 Hands Merlot 2019,"Columbia Valley, Washington",3.8,6,14,17,$1.01,6
1193738,Other Red Blends,19 Crimes Red Blend 2021,Australia,0.0,0,21,10,$3.01,12
1068383,Cabernet Sauvignon,19 Crimes Cabernet Sauvignon 2021,Australia,3.9,38,,13,,
1224122,Other Red Blends,19 Crimes Snoop Cali Red 2021,California,3.4,6,,16,,
764496,Other Red Blends,19 Crimes Snoop Cali Red 2020,California,4.2,184,,16,,
790703,Cabernet Sauvignon,1924 Double Black Cabernet Sauvignon 2020,"Lodi, California",4.0,33,,14,,
1237385,Cabernet Sauvignon,1924 Double Black Cabernet Sauvignon 2021,"Lodi, California",4.2,6,,14,,
1263991,Other Red Blends,1924 Double Black Red Blend 2021,"Lodi, California",0.0,0,,14,,
1168980,Syrah/Shiraz,3 Rings Shiraz 2020,"Barossa Valley, Barossa, South Australia, Australia",0.0,0,,18,,
1193096,Cabernet Sauvignon,7 Deadly Cabernet Sauvignon 2020,"Lodi, California",0.0,0,,16,,
1194416,Zinfandel,7 Deadly Zins Zinfandel 2019,"Lodi, California",3.8,12,,16,,
931216,Other Red Blends,7 Moons Red Blend 2020,Chile,4.2,22,,14,,
584297,Mencia,A Portela Mencia 2016,"Valdeorras, Spain",3.5,6,,23,,
974642,Pinot Noir,A to Z Essence Pinot Noir 2018,Oregon,0.0,0,,28,,
1203741,Pinot Noir,A to Z Pinot Noir 2021,Oregon,0.0,0,,25,,
1436626,Grenache,A Tribute to Grace Grenache 2022,"Central Coast, California",0.0,0,,35,,
631908,Other Red Blends,Abadia Retuerta Seleccion Especial 2017,Spain,4.5,6,,41,,
594112,Cabernet Sauvignon,Zuccardi Q Cabernet Sauvignon 2018,"Uco Valley, Mendoza, Argentina",3.7,9,44,21,$20.01,31
1255450,Cabernet Sauvignon,Zuccardi Q Cabernet Sauvignon 2021,"Uco Valley, Mendoza, Argentina",0.0,0,33,21,$6.01,15
1192852,Malbec,Zuccardi Jose Zuccardi Malbec 2018,"Uco Valley, Mendoza, Argentina",0.0,0,11,65,$5.01,29
1308401,Malbec,Zuccardi Aluvional Gualtallary Malbec 2018,"Mendoza, Argentina",0.0,0,17,84,$2.01,10
1232190,Malbec,Zuccardi Q Malbec 2021,"Uco Valley, Mendoza, Argentina",3.8,13,,21,,
1009089,Malbec,Zuccardi Poligonos del Valle de Uco San Pablo Malbec 2020,"Uco Valley, Mendoza, Argentina",3.3,7,,31,,
1136786,Malbec,Zuccardi Concreto Malbec 2021,"Uco Valley, Mendoza, Argentina",4.0,12,,40,,
1369478,Malbec,Zuccardi Serie A Malbec 2022,"Uco Valley, Mendoza, Argentina",0.0,0,,17,,
366970,Tempranillo,Zuccardi Q Tempranillo 2014,"Mendoza, Argentina",0.0,0,,21,,
385384,Tempranillo,Zuccardi Q Tempranillo 2013,"Mendoza, Argentina",3.8,40,,21,,
1223888,Cabernet Franc,Zorzal Gran Terroir Cabernet Franc 2021,"Uco Valley, Mendoza, Argentina",0.0,0,,19,,
824875,Malbec,Zorzal Eggo Tinto de Tiza 2018,"Mendoza, Argentina",3.7,34,,22,,
1417192,Malbec,Zorzal Eggo Tinto de Tiza 2019,"Mendoza, Argentina",0.0,0,,29,,
1017810,Malbec,Zorzal Terroir Unico Malbec 2020,"Mendoza, Argentina",0.0,0,,12,,
1177345,Pinot Noir,Zorzal Terroir Unico Pinot Noir 2021,"Mendoza, Argentina",0.0,0,,16,,
936769,Malbec,Zorzal Gran Terroir Malbec 2020,"Uco Valley, Mendoza, Argentina",0.0,0,,20,,
1307724,Pinot Noir,Zorzal Gran Terroir Pinot Noir 2020,"Uco Valley, Mendoza, Argentina",0.0,0,,19,,
878447,Pinot Noir,Zorzal Gran Terroir Pinot Noir 2019,"Uco Valley, Mendoza, Argentina",3.9,38,,19,,
1155685,Malbec,Zolo Malbec 2021,"Mendoza, Argentina",0.0,0,,13,,
780141,Other Red Blends,Zolo Signature Red Blend 2020,"Mendoza, Argentina",3.9,6,,13,,
1149849,Other Red Blends,ZOE Red 2021,"Other Peloponnese, Greece",0.0,0,,13,,
1058449,Sangiovese,Ziobaffa Organic Toscana 2018,"Tuscany, Italy",4.0,122,,11,,
839115,Grenache,Zestos Old Vine Garnacha 2020,"Vinos de Madrid, Spain",3.9,7,,11,,
1500366,Grenache,Zestos Old Vine Garnacha 2021,"Vinos de Madrid, Spain",0.0,0,,12,,
1230356,Other Red Blends,Zeni Marogne Valpolicella Superiore Ripasso 2020,"Valpolicella, Veneto, Italy",4.7,42,,19,,
